1.  Maria     | Campinas       | Linux    |  Webmaster
2.  Octavio   | Sao Paulo      | Linux    |  System Manager
3.  Bruno     | Rio de Janeiro | Linux    |  Administrator
4.  Cristina  | Santos         | Linux    |  Developer
5.  Marcus    | Barueri        | Linux    |  Developer
6.  Fabio     | Sao Paulo      | Linux    |  Webmaster
7.  Vivian    | Santos         | Linux    |  Developer
8.  Ricardo   | Sao Paulo      | Linux    |  Webmaster
9.  Giulia    | Sao Paulo      | Linux    |  Network Engineer
10. Lucca     | Campinas       | Linux    |  Developer
11. Pedro     | Campinas       | Linux    |  System Analyst
12. Carlos    | Rio de Janeiro | Linux    |  Developer
13. Gustavo   | Sao Paulo      | Linux    |  Developer
14. Evandro   | Campinas       | Linux    |  Administrator
15. Caio      | Santos         | Linux    |  Webmaster
